"12/23/2015","$1.10","CMSVEND*CV MICROSOFT     REDMOND      WA
","2"
"12/23/2015","$1.75","CMSVEND*CV MICROSOFT     REDMOND      WA
","2"
"12/22/2015","$1.75","CMSVEND*CV MICROSOFT     REDMOND      WA
","2"
"12/22/2015","$1.75","CMSVEND*CV MICROSOFT     REDMOND      WA
","2"
"12/23/2015","$1.10","CMSVEND*CV MICROSOFT     REDMOND      WA
","2"
"12/22/2015","$10.00","STARBUCKS CARD RELOAD    800-782-7282 WA
","2"
"12/22/2015","$133.34","GEICO  *AUTO             800-841-3000 DC
","2"
"12/21/2015","$1.10","CMSVEND*CV MICROSOFT     REDMOND      WA
","2"
"12/21/2015","$1.75","CMSVEND*CV MICROSOFT     REDMOND      WA
","2"
"12/21/2015","$171.25","AT&T*BILL PAYMENT        800-331-0500 TX
","2"
"12/20/2015","$1.00","CMSVEND*CV MICROSOFT     REDMOND      WA
","2"
"12/20/2015","$1.10","CMSVEND*CV MICROSOFT     REDMOND      WA
","2"
"12/20/2015","$1.75","CMSVEND*CV MICROSOFT     REDMOND      WA
","2"
"12/19/2015","$5.50","CAFô 41       11027307   REDMOND      WA
","2"
"12/16/2015","$-200.00","PAYMENT THANK YOU                       
","1"
"12/20/2015","$10.00","SKYPE SUBSCRIPTION       LUXEMBOURG   LU
","2"
"12/18/2015","$3.49","MAYURI FOODS AND VIDEO INREDMOND      WA
","2"
"12/18/2015","$40.63","MAYURI FOODS AND VIDEO INREDMOND      WA
","2"
"12/15/2015","$10.00","STARBUCKS CARD RELOAD    800-782-7282 WA
","2"
"12/09/2015","$36.69","USPS 05580401934704254   PALO ALTO    CA
","2"
"12/10/2015","$36.77","SHELL OIL 57444214209    MENLO PARK   CA
","2"
"12/09/2015","$1.10","CMSVEND*CV MICROSOFT     REDMOND      WA
","2"
"12/09/2015","$5.97","HASSETT ACE HARDWARE P   PALO ALTO    CA
","2"
"12/07/2015","$-500.00","PAYMENT THANK YOU                       
","1"
"12/07/2015","$-1617.83","PAYMENT THANK YOU                       
","1"
"12/07/2015","$19.61","MANDARIN BUFFET          REDMOND      WA
","2"
"12/06/2015","$7.00","AMAZON MKTPLACE PMTS     AMZN.COM/BILLWA
","2"
"12/06/2015","$3.00","AVA'S DOWNTOWN MARKET    MOUNTAIN VIEWCA
","2"
"12/06/2015","$13.12","AVA'S DOWNTOWN MARKET    MOUNTAIN VIEWCA
","2"
"12/06/2015","$13.20","MAYURI FOODS AND VIDEO INREDMOND      WA
","2"
"12/05/2015","$18.40","MAYURI FOODS AND VIDEO INREDMOND      WA
","2"
"12/04/2015","$1.10","CMSVEND*CV MICROSOFT     REDMOND      WA
","2"
"12/04/2015","$23.06","REGAL CINEMAS CROSSROADS BELLEVUE     WA
","2"
"12/04/2015","$9.99","Dropbox*RPL16V3LJSN3     db.tt/cchelp CA
","2"
"12/03/2015","$6.95","E-Z RENT-A-CAR DEN       DENVER       CO
","2"
"12/03/2015","$1.10","CMSVEND*CV MICROSOFT     REDMOND      WA
","2"
"12/03/2015","$1.10","CMSVEND*CV MICROSOFT     REDMOND      WA
","2"
"12/03/2015","$1.35","CMSVEND*CV MICROSOFT     REDMOND      WA
","2"
"12/03/2015","$1.35","CMSVEND*CV MICROSOFT     REDMOND      WA
","2"
"12/03/2015","$8.97","Amazon web services      aws.amazon.coWA
","2"
"12/02/2015","$33.34","THUNDER RIVER MARKET     GLNWOOD SPRNGCO
","2"
"12/02/2015","$47.59","NEPAL RESTAURANT         GLENWOOD SPRICO
","2"
"12/02/2015","$11.00","MURPHY EXPRESS 8587      AURORA       CO
","2"
"12/01/2015","$44.37","VENGA VENGA CANTINA      SNOWMASS VILLCO
","2"
"12/01/2015","$58.58","ASPEN SPORTS - ST. REGIS ASPEN        CO
","2"
"12/01/2015","$10.00","STARBUCKS CARD RELOAD    800-782-7282 WA
","2"
"11/30/2015","$7.00","SUNDECK ASPEN MOUNTAIN C ASPEN        CO
","2"
"11/30/2015","$61.51","ASPEN SPORTS GRAND HYATT ASPEN        CO
","2"
"11/29/2015","$65.65","ASIE                     ASPEN        CO
","2"
"11/29/2015","$7.78","HAAGEN-DAZS #968         VAIL         CO
","2"
"11/29/2015","$110.66","HOTELS.COM126311300854   HOTELS.COM   NV
","2"
"11/28/2015","$43.92","VAIL BLUE MOOSE          VAIL         CO
","2"
"11/28/2015","$10.00","STARBUCKS CARD RELOAD    800-782-7282 WA
","2"
"11/27/2015","$3.00","ALOFT BROOMFIELD         BROOMFIELD   CO
","2"
"11/27/2015","$114.56","COOL RIVER 477           GREENWOOD VILCO
","2"
"11/26/2015","$5.25","INT*AMORE FIORI FLOWERS &DENVER       CO
","2"
"11/26/2015","$86.10","MACY'S EAST #355         DENVER       CO
","2"
"11/26/2015","$9.10","UBER TECHNOLOGIES INC    866-576-1039 CA
","2"
"11/26/2015","$2.45","LE BOULANGER             SAN JOSE     CA
","2"
"11/25/2015","$331.77","E-Z RENT-A-CAR DEN       DENVER       CO
","2"
"11/25/2015","$20.00","ECOMPANYSTORE COM        877-588-8932 GA
","2"
"11/25/2015","$1.35","CMSVEND*CV MICROSOFT     REDMOND      WA
","2"
"11/25/2015","$63.00","TRAVEL INSURANCE POLICY  800-729-6021 VA
","2"
